Company,CarName
Hyundai,Hyundai Elite i20
Renault,Renault Duster
Maruti,Maruti Suzuki Swift
Mercedes-Benz,Mercedes-Benz C-Class
Ford,Ford Ecosport
Volkswagen,Volkswagen Polo
Honda,Honda City
Toyota,Toyota Innova
Jeep,Jeep Compass
Tata,Tata Nexon
Hyundai,Hyundai i10
Mahindra,Mahindra XUV500
Maruti,Maruti Suzuki Ertiga
Toyota,Toyota Urban Cruiser
Mahindra,Mahindra Scorpio
Hyundai,Hyundai Santro Xing
Mercedes-Benz,Mercedes-Benz E-Class
Maruti,Maruti Suzuki Eeco
Skoda,Skoda Rapid
Maruti,Maruti Suzuki Alto-800
Hyundai,Hyundai i20
Maruti,Maruti Suzuki Ritz
Kia,Kia Carens
Maruti,Maruti Suzuki Swift-Dzire
Maruti,Maruti Suzuki Celerio
Skoda,Skoda Octavia
Maruti,Maruti Suzuki S-Cross1
Honda,Honda City ZX
Maruti,Maruti Suzuki Alto
BMW,BMW X1
Volvo,Volvo S60
Toyota,Toyota Fortuner
Isuzu,Isuzu D-Max V-Cross
Hyundai,Hyundai Fluidic Verna
Hyundai,Hyundai Verna
Hyundai,Hyundai Venue
Hyundai,Hyundai Creta
Mahindra,Mahindra TUV
Maruti,Maruti Suzuki Wagon-R-1-0
Hyundai,Hyundai Santro
Audi,Audi Q3
Volkswagen,Volkswagen Jetta
Tata,Tata Safari
Toyota,Toyota Etios Liva
Mahindra,Mahindra e2o plus
Mahindra,Mahindra E Verito
Ford,Ford Figo
Fiat,Fiat Linea
Mercedes-Benz,Mercedes-Benz GLC Class
Volkswagen,Volkswagen VentoTest
Honda,Honda Amaze
Hyundai,Hyundai Tucson
Nissan,Nissan Micra
Honda,Honda Brio
Ford,Ford Aspire
Hyundai,Hyundai Xcent
Hyundai,Hyundai Grand i10
Maruti,Maruti Suzuki maruti-suzuki-dzire
Land,Land Rover Discovery Sport
Ford,Ford Figo Aspire
Hyundai,Hyundai Eon
Maruti,Maruti Suzuki Alto-K10
Honda,Honda Jazz
Tata,Tata Harrier
Maruti,Maruti Suzuki Vitara-Brezza
Mahindra,Mahindra Bolero
Renault,Renault Kiger
Maruti,Maruti Suzuki S-Presso
Maruti,Maruti Suzuki Sx4
Kia,Kia Seltos
Maruti,Maruti Suzuki 800
Maruti,Maruti Suzuki Swift-Dzire-Tour
Renault,Renault Scala
Chevrolet,Chevrolet Captiva
Toyota,Toyota Corolla
Hyundai,Hyundai Grand i10 Nios
Audi,Audi A6
Mahindra,Mahindra Thar
Maruti,Maruti Suzuki Wagon-R
Maruti,Maruti Suzuki Baleno
Maruti,Maruti Suzuki Omni
Toyota,Toyota Corolla Altis
Toyota,Toyota Etios
Ford,Ford Fiesta
Skoda,Skoda Fabia
Hyundai,Hyundai Elantra
Renault,Renault Pulse
Honda,Honda Mobilio
MG,MG Gloster
Volvo,Volvo S60 Cross Country
Chevrolet,Chevrolet Beat
Mahindra,Mahindra Bolero Neo
Renault,Renault KWID
Nissan,Nissan Terrano
Skoda,Skoda Kodiaq
Hyundai,Hyundai New Elantra
Mahindra,Mahindra Jeep
MG,MG Hector Plus
Maruti,Maruti Suzuki Ignis
Tata,Tata Manza
Mahindra,Mahindra XUV700
Tata,Tata Hexa
Mercedes-Benz,Mercedes-Benz CLA
Hyundai,Hyundai Accent
Maruti,Maruti Suzuki maruti-suzuki-brezza
MG,MG Hector
Hyundai,Hyundai Alcazar
MG,MG ASTOR
Tata,Tata Altroz
Tata,Tata Indica V2
Maruti,Maruti Suzuki Ciaz
Mercedes-Benz,Mercedes-Benz GLA Class
Chevrolet,Chevrolet Cruze
Mercedes-Benz,Mercedes-Benz B Class
